Ensembl	Entrez	Symbol	CCs_1	CCs_2	CCs_3	CSCs_1	CSCs_2	CSCs_3
ENSG00000225131	NA	NA	9.27622931074726	8.99000384144412	9.42972519054175	9.08578936811547	9.38271666543845	9.54361381280819
ENSG00000225422	NA	NA	7.84064228944409	8.74657951304017	7.70051963104258	7.99556118269114	7.92202893017896	7.9253295745043
ENSG00000225830	2074	ERCC6	3.6682114532641	3.66296602449073	3.46631880413533	3.74364223339594	3.63320726665958	3.66942940875633
ENSG00000225921	51406	NOL7	9.35893544925262	9.23442147477304	9.47540860878338	9.55144423429287	9.39549996574008	9.22568985388929
ENSG00000226084	NA	NA	12.6818383752851	12.4764491727037	13.0315659048079	12.5666505147214	12.3606414149276	12.3247316408987
ENSG00000226360	NA	NA	12.4313134727407	12.0015785742239	12.3456494003505	12.181313219987	11.9225348200989	11.8612104274858
ENSG00000226361	NA	NA	4.80997747635423	4.59796303864797	5.21787015771617	5.27640933488507	5.26525029442133	5.41034388794816
ENSG00000226723	NA	NA	7.17461137709776	7.75707411275657	7.71216600187021	7.15714351512387	6.99061562030857	7.04651019101982
ENSG00000226777	9834	FAM30A	8.8776170980916	9.15103355196197	4.69641512022069	9.26714284919196	10.6430593566047	10.0613049988978
ENSG00000226979	4049	LTA	3.77110395076254	3.61448886710629	3.58679113663641	3.69519690537039	3.78650984795613	3.97693385276946
ENSG00000226982	NA	NA	5.82833042897637	5.97687834002412	6.21948371226659	5.95425011340929	5.69363278455847	6.19580476877205
ENSG00000227345	8505	PARG	4.29099629260835	3.98022564422596	4.02216902984125	4.24827505381303	3.79734280071826	3.91536674041717
ENSG00000227507	4050	LTB	7.81770842172597	6.92051785648291	6.68961068708388	6.96449656359126	9.16429369616009	8.88991129887689
ENSG00000228218	NA	NA	11.452504838474	10.9938098761974	11.0093425982011	11.6117899070813	11.4086854590369	11.4574848946858
ENSG00000228695	51716	CES1P1	4.42763602527775	4.19951820201394	4.20243707530819	4.08358197639464	4.46592824614154	4.68247755165615
ENSG00000228716	1719	DHFR	4.34278613276908	4.22302473279549	4.9850174789411	3.98854947281024	3.94229094825743	4.15259274869351
ENSG00000228929	NA	NA	12.7907549640283	12.7507287267705	12.7267798448253	12.7181604804897	12.3279464936201	12.3633380279145
ENSG00000229036	NA	NA	4.26032701167797	4.19957016529704	3.95597203944041	4.27780669929205	4.17122031039878	4.37114873560682
ENSG00000229048	NA	NA	3.92820656386565	3.70479235850469	4.02284888840005	3.81727868135931	3.99940400196084	4.04797514285659
ENSG00000229256	NA	NA	9.87549919832544	9.75955267418067	10.1776125404998	9.66859171218321	9.61990200986275	9.4756730742243
ENSG00000229314	5004	ORM1	3.43575414797537	3.41088218807448	3.40800165709454	3.37752073565365	3.40875631746814	3.42636079243557
ENSG00000229359	5301	PIN1P1	4.32286746038709	4.52920137688353	4.42876590339149	4.42051252740855	4.32377430518263	4.48968553755955
ENSG00000229689	NA	NA	3.87471185456813	3.74039893817869	3.78658793583806	3.76169341950556	3.91251031257723	3.8692903642541
ENSG00000229927	NA	NA	9.65768792949808	9.71488578493241	9.22165005720639	9.76998609076562	9.59961940781742	9.59489432852918
ENSG00000229932	NA	NA	10.4114273218544	10.6030688423143	10.4748342075795	10.2875869021903	11.2071576957168	11.0536377206827
ENSG00000229944	NA	NA	5.48620379981129	6.36464700517656	5.63757562270877	5.61367991692307	5.72366615865941	5.7728262432245
ENSG00000230199	NA	NA	13.7221182694123	13.7099482948329	13.9071410035459	13.7370016659859	13.6431308283825	13.6155609468925
ENSG00000230989	3281	HSBP1	8.78309818058575	8.29150256466519	9.46905548959335	8.18981587148135	8.60604398993581	8.8019479442888
ENSG00000231245	NA	NA	5.90799775179375	6.19651385601221	6.27704093638268	6.43194057527626	5.72133868717824	6.04202117138065
ENSG00000231887	5554	PRH1	4.74452478872246	4.44686779675069	4.67382446998609	4.48679718201198	4.64613053436864	4.56227969792859
ENSG00000232176	NA	NA	13.1204559781615	13.117006550265	13.219181311169	13.0170462212493	12.7534162912489	12.8200740098076
ENSG00000232341	NA	NA	11.6622632388594	11.5023170308046	11.7031484431015	11.6182999345695	11.1367429150897	11.0852026028612
ENSG00000232573	NA	NA	13.2120711242311	13.0808265281521	13.2778195381446	13.1205474728691	12.9527373230594	12.9647691711695
